checking_account,duration_months,credit_history,credit_amount,savings,employment_years,installment_rate,age,num_credits,approved,decision,probability_default,risk_level,expected_credit_loss
1,48,2,1276,0,4,3,55,2,1,Manual Review,0.5843,Medium,0.0
0,61,0,901,3,1,3,65,1,0,Rejected,0.6022,High,0.0
2,34,2,1674,3,1,4,45,1,1,Manual Review,0.5672,Medium,0.0
0,26,2,2733,0,4,2,68,1,1,Rejected,0.607,High,0.0
2,45,2,374,0,2,1,70,1,1,Rejected,0.6172,High,0.0
1,13,2,1859,2,0,2,32,1,1,Manual Review,0.5216,Medium,0.0
3,35,4,2830,0,1,4,65,2,1,Rejected,0.6022,High,0.0
0,56,0,1193,3,2,3,23,1,0,Manual Review,0.541,Medium,0.0
1,33,2,3588,1,3,3,54,1,1,Manual Review,0.5828,Medium,0.0
0,42,0,2472,2,3,1,50,1,1,Manual Review,0.5832,Medium,0.0
3,34,2,8209,0,4,3,52,2,1,Manual Review,0.5828,Medium,0.0
3,5,2,812,0,1,1,25,2,1,Manual Review,0.5333,Medium,0.0
0,15,2,2877,4,2,3,60,1,1,Manual Review,0.5925,Medium,0.0
2,42,2,655,0,2,4,66,1,1,Rejected,0.6109,High,0.0
3,69,2,406,1,2,4,28,3,1,Manual Review,0.5465,Medium,0.0
2,16,3,290,0,1,3,68,1,1,Rejected,0.6051,High,0.0
1,49,2,2277,1,4,2,35,2,1,Manual Review,0.5621,Medium,0.0
0,30,0,1715,0,4,4,48,2,0,Manual Review,0.576,Medium,0.0
0,20,2,1009,0,2,3,39,2,1,Manual Review,0.5677,Medium,0.0
3,63,2,358,0,2,1,31,1,0,Manual Review,0.5532,Medium,0.0
3,67,1,852,1,1,2,19,2,1,Manual Review,0.5287,Medium,0.0
2,38,2,1485,2,2,1,19,2,1,Manual Review,0.5383,Medium,0.0
1,33,2,2792,0,3,2,65,1,1,Rejected,0.6066,High,0.0
1,66,0,1460,0,2,2,51,1,0,Manual Review,0.5857,Medium,0.0
2,31,4,1811,1,4,3,56,1,1,Manual Review,0.5847,Medium,0.0
3,63,0,1095,0,2,2,43,1,1,Manual Review,0.5719,Medium,0.0
3,40,0,5999,0,2,1,44,1,1,Manual Review,0.5731,Medium,0.0
2,25,0,655,0,3,3,31,1,1,Manual Review,0.5513,Medium,0.0
2,71,2,846,0,1,4,46,1,1,Manual Review,0.5676,Medium,0.0
0,23,2,998,0,2,3,51,1,0,Manual Review,0.5857,Medium,0.0
0,71,0,2285,0,2,2,55,1,0,Manual Review,0.5881,Medium,0.0
3,67,2,644,0,2,4,59,2,1,Manual Review,0.5916,Medium,0.0
2,20,2,1650,0,3,4,48,3,1,Manual Review,0.5774,Medium,0.0
0,15,0,1689,0,2,1,67,1,0,Rejected,0.6119,High,0.0
0,25,2,849,0,3,1,66,1,1,Rejected,0.6077,High,0.0
2,20,2,1927,0,2,3,26,1,1,Manual Review,0.5454,Medium,0.0
0,13,2,660,3,2,4,67,2,1,Rejected,0.6119,High,0.0
0,68,4,605,0,4,4,65,2,1,Rejected,0.6039,High,0.0
2,25,2,1603,0,1,4,74,3,1,Rejected,0.6123,High,0.0
2,53,4,392,0,1,3,19,1,1,Manual Review,0.5287,Medium,0.0
2,17,2,266,0,2,3,30,3,1,Manual Review,0.5526,Medium,0.0
0,67,2,2267,0,1,1,23,1,0,Manual Review,0.5321,Medium,0.0
2,50,0,3426,0,0,1,42,2,0,Manual Review,0.5347,Medium,0.0
0,32,2,1018,4,3,2,24,1,1,Manual Review,0.5426,Medium,0.0
1,39,2,867,0,2,3,43,2,1,Manual Review,0.5719,Medium,0.0
2,55,0,3309,4,2,3,19,1,1,Manual Review,0.5383,Medium,0.0
2,10,0,592,0,4,3,43,2,1,Manual Review,0.5683,Medium,0.0
3,32,2,497,0,2,2,19,2,1,Manual Review,0.5383,Medium,0.0
2,14,2,2607,0,4,3,50,1,1,Manual Review,0.5819,Medium,0.0
2,36,2,1491,0,1,1,60,1,1,Manual Review,0.585,Medium,0.0
0,9,2,3469,0,2,2,60,2,0,Manual Review,0.5925,Medium,0.0
1,35,0,267,1,4,4,21,1,0,Manual Review,0.5336,Medium,0.0
0,54,2,482,0,2,3,67,1,0,Rejected,0.6119,High,0.0
0,61,0,1497,4,3,4,37,1,1,Manual Review,0.5646,Medium,0.0
3,29,2,2067,3,2,2,61,1,1,Manual Review,0.5959,Medium,0.0
1,49,2,2914,0,1,2,47,1,1,Manual Review,0.568,Medium,0.0
3,32,2,1702,0,2,2,68,1,1,Rejected,0.6129,High,0.0
2,7,2,1688,0,2,2,20,1,1,Manual Review,0.5386,Medium,0.0
2,16,1,1084,0,4,4,27,1,1,Manual Review,0.5431,Medium,0.0
1,42,2,5285,0,1,3,74,2,0,Rejected,0.6123,High,0.0
2,18,2,612,0,4,4,35,4,1,Manual Review,0.5621,Medium,0.0
1,32,2,1972,0,4,1,64,2,1,Rejected,0.6029,High,0.0
0,32,1,671,0,1,4,54,1,0,Manual Review,0.5769,Medium,0.0
2,35,2,2270,4,2,1,35,3,1,Manual Review,0.5654,Medium,0.0
1,5,2,645,1,4,4,67,1,1,Rejected,0.606,High,0.0
0,50,1,2683,4,4,2,30,1,1,Manual Review,0.5494,Medium,0.0
2,25,0,1619,0,2,2,38,3,0,Manual Review,0.5672,Medium,0.0
0,30,2,5977,0,2,3,68,2,0,Rejected,0.6129,High,0.0
3,70,2,1182,0,2,4,21,2,1,Manual Review,0.5351,Medium,0.0
3,59,0,2079,0,3,1,61,2,1,Manual Review,0.5927,Medium,0.0
3,24,0,793,0,1,2,68,1,1,Rejected,0.6051,High,0.0
1,50,0,1175,1,3,4,22,1,1,Manual Review,0.537,Medium,0.0
0,62,1,1610,1,0,2,35,2,0,Manual Review,0.5284,Medium,0.0
3,9,2,436,0,0,1,68,1,1,Manual Review,0.5736,Medium,0.0
1,22,2,476,0,2,2,55,1,1,Manual Review,0.5881,Medium,0.0
3,60,2,2392,0,2,2,64,2,1,Rejected,0.6089,High,0.0
3,72,2,1317,0,2,4,60,2,1,Manual Review,0.5925,Medium,0.0
3,6,1,921,0,2,4,33,1,1,Manual Review,0.5593,Medium,0.0
1,4,2,820,0,2,3,51,2,1,Manual Review,0.5857,Medium,0.0
1,61,2,846,0,1,4,34,2,0,Manual Review,0.556,Medium,0.0
3,41,4,1619,4,2,2,29,2,1,Manual Review,0.5496,Medium,0.0
1,18,2,2113,0,4,1,73,1,1,Rejected,0.6144,High,0.0
0,37,0,277,2,2,2,38,1,0,Manual Review,0.5672,Medium,0.0
2,64,2,4583,0,2,2,56,1,1,Manual Review,0.5887,Medium,0.0
3,38,1,4330,0,2,1,42,1,1,Manual Review,0.5715,Medium,0.0
2,67,2,229,0,4,4,72,1,1,Rejected,0.6136,High,0.0
2,28,0,3528,0,1,4,34,1,0,Manual Review,0.556,Medium,0.0
0,27,0,3443,0,3,2,48,1,0,Manual Review,0.5774,Medium,0.0
2,15,2,1480,2,3,3,52,3,1,Manual Review,0.5841,Medium,0.0
3,21,0,524,1,2,3,19,1,1,Manual Review,0.5383,Medium,0.0
0,18,2,3334,0,1,4,42,2,0,Manual Review,0.5628,Medium,0.0
1,30,0,1220,0,3,4,42,2,0,Manual Review,0.5695,Medium,0.0
3,63,2,2296,4,0,3,27,1,1,Manual Review,0.5112,Medium,0.0
2,49,2,8737,0,2,4,40,3,1,Manual Review,0.5706,Medium,0.0
2,20,2,1810,0,3,3,30,1,1,Manual Review,0.5507,Medium,0.0
2,56,1,710,0,1,3,35,1,0,Manual Review,0.5566,Medium,0.0
1,11,0,1131,2,4,1,43,2,1,Manual Review,0.5683,Medium,0.0
1,30,0,787,4,0,1,46,1,1,Manual Review,0.5393,Medium,0.0
2,49,1,2093,0,4,3,33,2,1,Manual Review,0.556,Medium,0.0
3,53,2,776,4,2,2,48,1,1,Manual Review,0.5795,Medium,0.0
3,6,3,1014,3,1,1,69,2,1,Rejected,0.6085,High,0.0
3,67,2,529,0,1,3,45,1,1,Manual Review,0.5672,Medium,0.0
1,47,2,1331,0,4,1,40,2,1,Manual Review,0.567,Medium,0.0
1,56,2,1705,0,1,3,28,1,0,Manual Review,0.5376,Medium,0.0
2,27,2,172,4,1,3,49,2,1,Manual Review,0.5765,Medium,0.0
2,63,0,1821,0,2,4,45,2,0,Manual Review,0.5759,Medium,0.0
2,6,2,1427,2,2,2,30,1,1,Manual Review,0.5526,Medium,0.0
2,23,2,802,0,2,1,64,2,1,Rejected,0.6089,High,0.0
3,49,2,7501,2,1,3,49,1,1,Manual Review,0.5765,Medium,0.0
1,18,0,3186,0,1,4,50,2,0,Manual Review,0.577,Medium,0.0
1,28,2,615,0,1,4,50,1,0,Manual Review,0.577,Medium,0.0
0,20,2,2894,3,1,2,59,2,1,Manual Review,0.5841,Medium,0.0
2,12,2,4006,3,2,2,63,2,1,Rejected,0.6079,High,0.0
0,41,2,1645,4,3,4,53,1,0,Manual Review,0.5823,Medium,0.0
1,51,2,1976,0,1,1,71,1,1,Rejected,0.6099,High,0.0
2,63,4,1940,1,2,3,64,1,1,Rejected,0.6089,High,0.0
1,66,0,279,0,2,2,39,2,0,Manual Review,0.5677,Medium,0.0
2,5,2,1274,0,4,1,28,1,1,Manual Review,0.5435,Medium,0.0
0,14,0,1222,0,4,2,34,1,0,Manual Review,0.5616,Medium,0.0
0,67,2,4647,0,4,2,25,2,1,Manual Review,0.5399,Medium,0.0
3,24,3,1933,0,1,3,22,1,1,Manual Review,0.529,Medium,0.0
1,21,0,1166,4,0,4,45,2,0,Manual Review,0.5388,Medium,0.0
0,67,2,1377,0,2,2,70,1,0,Rejected,0.6172,High,0.0
1,41,1,3356,1,1,4,73,1,0,Rejected,0.6114,High,0.0
2,35,3,1277,0,2,1,43,2,1,Manual Review,0.5719,Medium,0.0
0,14,2,846,0,3,3,49,1,0,Manual Review,0.5828,Medium,0.0
2,48,2,1187,0,4,1,29,1,1,Manual Review,0.5464,Medium,0.0
0,36,0,3141,4,4,4,66,2,1,Rejected,0.6049,High,0.0
0,44,4,2201,4,2,4,38,1,0,Manual Review,0.5672,Medium,0.0
1,11,2,1533,4,3,3,54,3,1,Manual Review,0.5828,Medium,0.0
2,14,1,1725,4,2,4,72,3,1,Rejected,0.6187,High,0.0
2,54,2,945,0,0,3,72,1,1,Manual Review,0.5767,Medium,0.0
2,44,0,1267,0,3,4,73,1,0,Rejected,0.6168,High,0.0
3,20,2,870,1,0,3,35,2,1,Manual Review,0.5284,Medium,0.0
1,49,0,1169,0,2,4,63,1,0,Rejected,0.6079,High,0.0
1,35,2,4345,0,2,3,29,1,1,Manual Review,0.5496,Medium,0.0
2,57,2,624,0,3,1,48,2,1,Manual Review,0.5774,Medium,0.0
1,23,0,853,0,3,3,53,1,0,Manual Review,0.5823,Medium,0.0
1,36,0,542,0,2,1,59,2,0,Manual Review,0.5916,Medium,0.0
0,43,0,456,0,4,3,56,1,0,Manual Review,0.5847,Medium,0.0
0,35,2,1274,0,2,2,40,1,0,Manual Review,0.5706,Medium,0.0
3,5,1,903,0,2,3,71,1,1,Rejected,0.618,High,0.0
3,36,2,6059,0,3,1,61,3,1,Manual Review,0.5927,Medium,0.0
2,33,1,1180,0,3,1,66,2,1,Rejected,0.6077,High,0.0
1,36,1,4152,2,4,2,69,2,1,Rejected,0.6106,High,0.0
0,29,2,3211,0,1,4,45,1,0,Manual Review,0.5672,Medium,0.0
0,25,0,1252,0,3,2,55,1,0,Manual Review,0.5858,Medium,0.0
0,69,2,8007,2,2,2,64,1,1,Rejected,0.6089,High,0.0
2,41,2,1835,0,4,3,67,1,1,Rejected,0.606,High,0.0
2,49,2,4966,0,1,3,53,1,1,Manual Review,0.5763,Medium,0.0
2,18,2,4524,1,3,2,22,2,1,Manual Review,0.537,Medium,0.0
1,47,2,2062,0,2,2,34,1,1,Manual Review,0.5649,Medium,0.0
3,52,0,2699,2,1,1,34,3,1,Manual Review,0.556,Medium,0.0
2,64,0,2438,2,2,4,39,1,1,Manual Review,0.5677,Medium,0.0
2,70,0,592,1,2,1,44,3,1,Manual Review,0.5731,Medium,0.0
2,9,2,1549,0,2,2,54,1,1,Manual Review,0.585,Medium,0.0
1,12,0,3496,0,4,1,37,1,1,Manual Review,0.5632,Medium,0.0
0,9,2,5018,0,2,1,35,1,0,Manual Review,0.5654,Medium,0.0
1,35,4,831,0,3,4,63,1,1,Rejected,0.6045,High,0.0
2,44,2,2259,0,2,1,44,1,1,Manual Review,0.5731,Medium,0.0
0,11,2,1670,0,0,1,40,1,0,Manual Review,0.5337,Medium,0.0
0,53,0,1347,0,1,2,73,1,0,Rejected,0.6114,High,0.0
0,65,2,1968,0,2,1,74,2,1,Rejected,0.6201,High,0.0
0,65,2,1762,0,2,1,46,2,0,Manual Review,0.5763,Medium,0.0
3,10,0,2282,0,1,4,19,2,0,Manual Review,0.5287,Medium,0.0
2,7,0,4690,2,2,4,62,1,1,Rejected,0.607,High,0.0
1,9,2,2771,0,2,4,54,2,0,Manual Review,0.585,Medium,0.0
0,61,2,1897,0,1,4,61,1,0,Manual Review,0.5884,Medium,0.0
1,25,2,6579,4,2,3,55,1,1,Manual Review,0.5881,Medium,0.0
1,29,2,3597,0,1,1,20,1,1,Manual Review,0.5292,Medium,0.0
0,6,2,1374,0,4,4,35,1,0,Manual Review,0.5621,Medium,0.0
1,44,2,559,0,4,4,58,1,1,Manual Review,0.5863,Medium,0.0
1,63,2,671,1,3,4,56,1,0,Manual Review,0.5863,Medium,0.0
2,17,1,3123,0,1,3,39,1,0,Manual Review,0.5589,Medium,0.0
2,15,2,894,0,3,1,27,2,1,Manual Review,0.544,Medium,0.0
0,15,2,660,0,4,4,31,2,0,Manual Review,0.5499,Medium,0.0
1,16,2,807,4,3,3,29,3,1,Manual Review,0.5477,Medium,0.0
2,28,2,854,0,1,4,34,2,1,Manual Review,0.556,Medium,0.0
1,48,2,2923,0,3,1,34,1,1,Manual Review,0.563,Medium,0.0
3,22,2,1305,4,4,1,20,2,1,Manual Review,0.537,Medium,0.0
2,58,2,493,0,2,1,60,2,1,Manual Review,0.5925,Medium,0.0
0,48,2,1517,4,3,4,62,1,1,Rejected,0.6036,High,0.0
0,11,2,1768,0,2,1,26,1,0,Manual Review,0.5454,Medium,0.0
2,56,0,1008,3,2,1,61,3,1,Manual Review,0.5959,Medium,0.0
