monthly_income,credit_score,debt_to_income,employment_months,age,num_late_payments,existing_loans,loan_amount,loan_term_months,has_mortgage,approved,decision,probability_default,risk_level,expected_credit_loss
500.0,486.0,0.054,44.0,37.0,0.0,3.0,425.0,84.0,0.0,1.0,Manual Review,0.5684,Medium,108.71
500.0,651.0,0.381,1.0,54.0,0.0,1.0,547.3,24.0,0.0,1.0,Rejected,0.7757,High,191.05
321.7,671.0,0.279,70.0,49.0,0.0,1.0,162.3,36.0,0.0,1.0,Manual Review,0.569,Medium,41.56
500.0,581.0,0.307,22.0,21.0,1.0,1.0,313.4,60.0,0.0,0.0,Manual Review,0.5307,Medium,74.85
296.5,745.0,0.343,10.0,26.0,1.0,2.0,739.5,36.0,0.0,1.0,Manual Review,0.5862,Medium,195.08
500.0,521.0,0.476,9.0,28.0,2.0,2.0,143.7,36.0,0.0,1.0,Manual Review,0.5251,Medium,33.96
204.9,502.0,0.255,23.0,32.0,1.0,3.0,354.6,36.0,0.0,0.0,Manual Review,0.5768,Medium,92.03
281.0,637.0,0.501,78.0,30.0,1.0,1.0,2000.0,48.0,1.0,0.0,Rejected,0.6182,High,556.35
500.0,703.0,0.154,17.0,38.0,1.0,2.0,397.8,120.0,1.0,1.0,Manual Review,0.5667,Medium,101.44
500.0,754.0,0.063,49.0,46.0,2.0,1.0,1029.0,48.0,0.0,1.0,Manual Review,0.5862,Medium,271.45
500.0,583.0,0.448,3.0,48.0,0.0,2.0,708.1,36.0,1.0,0.0,Rejected,0.7817,High,249.08
500.0,706.0,0.11,23.0,34.0,2.0,2.0,351.9,24.0,0.0,1.0,Manual Review,0.5608,Medium,88.81
469.7,616.0,0.3,172.0,18.0,1.0,2.0,397.6,12.0,1.0,0.0,Manual Review,0.5399,Medium,96.6
260.7,606.0,0.536,52.0,25.0,2.0,0.0,514.4,48.0,1.0,0.0,Manual Review,0.5705,Medium,132.06
380.9,690.0,0.067,8.0,31.0,1.0,1.0,87.2,48.0,0.0,1.0,Manual Review,0.5267,Medium,20.67
433.7,672.0,0.337,25.0,23.0,0.0,0.0,960.1,36.0,1.0,1.0,Manual Review,0.5662,Medium,244.64
500.0,493.0,0.062,9.0,51.0,0.0,1.0,409.4,60.0,0.0,0.0,Manual Review,0.5826,Medium,107.33
500.0,738.0,0.267,18.0,23.0,1.0,3.0,987.3,60.0,0.0,1.0,Manual Review,0.5698,Medium,253.17
226.1,730.0,0.015,54.0,45.0,0.0,2.0,614.0,36.0,0.0,1.0,Rejected,0.6175,High,170.61
500.0,569.0,0.093,53.0,18.0,1.0,1.0,395.2,36.0,1.0,0.0,Manual Review,0.5373,Medium,95.55
450.4,651.0,0.162,9.0,45.0,0.0,2.0,527.1,120.0,1.0,1.0,Rejected,0.7123,High,168.96
389.2,659.0,0.056,91.0,36.0,0.0,2.0,528.6,36.0,0.0,1.0,Rejected,0.7658,High,182.16
500.0,640.0,0.363,32.0,56.0,0.0,2.0,1466.1,60.0,0.0,1.0,Rejected,0.632,High,416.93
500.0,575.0,0.326,17.0,24.0,1.0,0.0,473.2,48.0,0.0,0.0,Manual Review,0.554,Medium,117.96
500.0,566.0,0.552,25.0,31.0,2.0,1.0,566.8,60.0,1.0,0.0,Rejected,0.6587,High,168.01
358.9,617.0,0.11,33.0,33.0,0.0,1.0,164.0,60.0,0.0,1.0,Manual Review,0.5443,Medium,40.17
467.8,713.0,0.217,29.0,36.0,0.0,1.0,433.5,60.0,1.0,1.0,Manual Review,0.5711,Medium,111.41
500.0,663.0,0.078,23.0,33.0,1.0,1.0,1440.7,84.0,0.0,1.0,Rejected,0.6105,High,395.82
500.0,590.0,0.177,25.0,34.0,0.0,0.0,634.3,84.0,0.0,1.0,Rejected,0.7797,High,222.56
429.7,681.0,0.595,6.0,33.0,1.0,0.0,189.5,48.0,0.0,0.0,Manual Review,0.5433,Medium,46.33
497.6,392.0,0.397,60.0,18.0,0.0,1.0,206.5,36.0,1.0,1.0,Manual Review,0.519,Medium,48.22
314.0,711.0,0.106,28.0,49.0,2.0,1.0,248.7,36.0,0.0,1.0,Manual Review,0.5809,Medium,65.01
300.2,480.0,0.031,5.0,72.0,1.0,0.0,1001.4,60.0,1.0,1.0,Rejected,0.6498,High,292.82
500.0,591.0,0.028,52.0,41.0,1.0,3.0,907.5,60.0,0.0,1.0,Manual Review,0.5897,Medium,240.83
500.0,530.0,0.368,97.0,24.0,4.0,2.0,28.4,24.0,0.0,0.0,Manual Review,0.5107,Medium,6.53
500.0,516.0,0.159,105.0,25.0,0.0,2.0,421.7,24.0,1.0,1.0,Manual Review,0.5475,Medium,103.9
500.0,712.0,0.738,16.0,45.0,1.0,1.0,506.5,60.0,1.0,0.0,Rejected,0.7491,High,170.75
500.0,582.0,0.244,5.0,42.0,1.0,0.0,208.5,36.0,1.0,0.0,Manual Review,0.5538,Medium,51.96
395.5,647.0,0.171,26.0,34.0,4.0,2.0,329.3,48.0,0.0,0.0,Manual Review,0.5666,Medium,83.96
500.0,616.0,0.081,4.0,47.0,0.0,0.0,1305.4,60.0,0.0,0.0,Rejected,0.6167,High,362.27
500.0,658.0,0.448,97.0,18.0,0.0,1.0,624.2,48.0,0.0,1.0,Manual Review,0.5557,Medium,156.08
500.0,626.0,0.197,7.0,47.0,0.0,1.0,301.8,24.0,0.0,0.0,Manual Review,0.5669,Medium,77.0
500.0,517.0,0.261,10.0,40.0,2.0,2.0,387.5,24.0,1.0,0.0,Manual Review,0.5689,Medium,99.21
147.3,699.0,0.279,18.0,26.0,1.0,1.0,375.1,36.0,0.0,1.0,Rejected,0.6068,High,102.42
500.0,580.0,0.249,17.0,20.0,0.0,0.0,564.0,36.0,0.0,1.0,Manual Review,0.5987,Medium,151.95
500.0,495.0,0.389,56.0,39.0,0.0,2.0,143.4,48.0,0.0,1.0,Manual Review,0.5438,Medium,35.09
470.2,585.0,0.09,21.0,54.0,0.0,0.0,263.4,48.0,0.0,0.0,Manual Review,0.5723,Medium,67.84
500.0,740.0,0.239,6.0,35.0,1.0,2.0,1030.5,36.0,0.0,1.0,Manual Review,0.5823,Medium,270.05
202.1,688.0,0.2,11.0,27.0,0.0,2.0,424.7,24.0,0.0,1.0,Manual Review,0.5726,Medium,109.44
489.2,592.0,0.401,25.0,40.0,0.0,0.0,228.0,24.0,0.0,1.0,Manual Review,0.5554,Medium,56.98
500.0,592.0,0.467,5.0,59.0,1.0,2.0,235.7,120.0,0.0,0.0,Manual Review,0.5752,Medium,61.01
500.0,594.0,0.128,34.0,43.0,1.0,1.0,801.2,48.0,1.0,0.0,Manual Review,0.5752,Medium,207.39
421.3,786.0,0.404,30.0,44.0,1.0,1.0,297.4,84.0,0.0,1.0,Manual Review,0.5677,Medium,75.98
364.4,650.0,0.089,45.0,52.0,1.0,0.0,677.3,60.0,0.0,0.0,Manual Review,0.5997,Medium,182.76
424.8,654.0,0.248,99.0,43.0,2.0,4.0,272.6,48.0,1.0,1.0,Manual Review,0.5646,Medium,69.26
500.0,702.0,0.264,87.0,28.0,1.0,2.0,182.3,60.0,1.0,1.0,Manual Review,0.5291,Medium,43.4
500.0,639.0,0.455,105.0,18.0,1.0,3.0,547.3,24.0,1.0,0.0,Rejected,0.729,High,179.55
418.9,599.0,0.39,10.0,26.0,0.0,2.0,416.4,60.0,1.0,0.0,Manual Review,0.5569,Medium,104.36
500.0,604.0,0.097,5.0,24.0,1.0,3.0,778.6,36.0,0.0,0.0,Rejected,0.6274,High,219.83
500.0,614.0,0.383,12.0,45.0,0.0,2.0,913.0,60.0,0.0,0.0,Manual Review,0.5911,Medium,242.85
500.0,617.0,0.298,81.0,47.0,1.0,0.0,338.0,24.0,0.0,0.0,Manual Review,0.57,Medium,86.69
384.4,678.0,0.59,128.0,40.0,0.0,2.0,595.0,60.0,0.0,1.0,Rejected,0.6466,High,173.13
463.5,624.0,0.176,70.0,22.0,1.0,1.0,329.8,24.0,1.0,0.0,Manual Review,0.5378,Medium,79.81
448.8,678.0,0.214,4.0,59.0,1.0,1.0,747.2,84.0,0.0,1.0,Manual Review,0.5941,Medium,199.76
262.7,613.0,0.62,106.0,33.0,0.0,3.0,542.5,36.0,1.0,1.0,Manual Review,0.5773,Medium,140.94
500.0,626.0,0.487,19.0,45.0,2.0,0.0,273.2,60.0,1.0,0.0,Manual Review,0.5636,Medium,69.29
500.0,460.0,0.096,0.0,38.0,0.0,3.0,255.5,48.0,0.0,0.0,Manual Review,0.5542,Medium,63.71
500.0,693.0,0.25,21.0,40.0,1.0,2.0,558.0,36.0,1.0,1.0,Rejected,0.7579,High,190.3
485.6,647.0,0.341,1.0,44.0,0.0,1.0,1140.5,48.0,0.0,0.0,Manual Review,0.5957,Medium,305.71
269.1,699.0,0.401,28.0,29.0,2.0,2.0,925.6,84.0,0.0,1.0,Rejected,0.6192,High,257.92
442.4,388.0,0.118,14.0,53.0,1.0,2.0,211.7,12.0,1.0,0.0,Manual Review,0.5682,Medium,54.13
460.0,787.0,0.557,23.0,19.0,1.0,2.0,230.2,84.0,0.0,0.0,Manual Review,0.5238,Medium,54.26
365.6,608.0,0.063,34.0,25.0,0.0,0.0,259.1,48.0,1.0,1.0,Manual Review,0.5419,Medium,63.18
500.0,708.0,0.123,73.0,53.0,2.0,1.0,279.3,60.0,0.0,1.0,Manual Review,0.5715,Medium,71.83
500.0,536.0,0.53,39.0,45.0,1.0,0.0,105.2,36.0,0.0,0.0,Manual Review,0.5478,Medium,25.93
500.0,669.0,0.271,20.0,68.0,0.0,1.0,846.8,48.0,1.0,1.0,Rejected,0.6064,High,231.09
500.0,535.0,0.277,61.0,38.0,0.0,3.0,312.5,84.0,0.0,1.0,Manual Review,0.5593,Medium,78.66
500.0,570.0,0.301,84.0,58.0,1.0,1.0,651.4,36.0,0.0,0.0,Rejected,0.8152,High,238.95
500.0,773.0,0.14,4.0,18.0,0.0,3.0,349.6,48.0,0.0,1.0,Manual Review,0.533,Medium,83.86
209.2,604.0,0.074,27.0,21.0,0.0,0.0,441.9,12.0,1.0,0.0,Manual Review,0.5569,Medium,110.74
500.0,637.0,0.329,12.0,48.0,0.0,1.0,260.2,24.0,0.0,0.0,Manual Review,0.5663,Medium,66.31
500.0,689.0,0.36,1.0,18.0,1.0,1.0,440.0,48.0,1.0,1.0,Manual Review,0.5413,Medium,107.18
500.0,659.0,0.31,39.0,35.0,0.0,4.0,224.2,60.0,0.0,1.0,Manual Review,0.5496,Medium,55.44
495.9,632.0,0.18,71.0,52.0,2.0,4.0,442.6,48.0,0.0,0.0,Manual Review,0.586,Medium,116.71
500.0,649.0,0.11,6.0,44.0,2.0,1.0,1444.1,24.0,1.0,0.0,Rejected,0.6184,High,401.87
500.0,812.0,0.227,60.0,38.0,1.0,1.0,682.6,36.0,0.0,1.0,Rejected,0.769,High,236.2
304.4,615.0,0.639,69.0,32.0,2.0,3.0,568.1,36.0,0.0,0.0,Manual Review,0.5822,Medium,148.84
500.0,636.0,0.243,88.0,40.0,1.0,1.0,156.6,48.0,1.0,0.0,Manual Review,0.548,Medium,38.62
500.0,704.0,0.216,11.0,44.0,0.0,1.0,708.6,84.0,1.0,1.0,Rejected,0.778,High,248.07
500.0,708.0,0.249,84.0,30.0,0.0,2.0,765.9,60.0,0.0,1.0,Rejected,0.7864,High,271.03
346.5,714.0,0.237,13.0,42.0,2.0,1.0,557.8,24.0,0.0,0.0,Manual Review,0.5754,Medium,144.43
500.0,671.0,0.532,28.0,50.0,1.0,2.0,534.3,84.0,1.0,1.0,Rejected,0.7705,High,185.27
270.9,528.0,0.39,1.0,35.0,0.0,0.0,402.3,48.0,1.0,0.0,Rejected,0.7945,High,143.83
500.0,750.0,0.17,1.0,38.0,0.0,1.0,756.7,60.0,1.0,1.0,Rejected,0.7983,High,271.82
500.0,528.0,0.204,45.0,43.0,0.0,1.0,1376.2,24.0,0.0,1.0,Rejected,0.6171,High,382.15
332.7,644.0,0.255,21.0,44.0,0.0,0.0,586.3,60.0,1.0,0.0,Manual Review,0.5898,Medium,155.6
411.3,559.0,0.289,10.0,48.0,0.0,1.0,206.9,36.0,0.0,0.0,Manual Review,0.5658,Medium,52.67
500.0,614.0,0.141,7.0,25.0,2.0,1.0,219.9,36.0,0.0,0.0,Manual Review,0.5286,Medium,52.31
424.5,646.0,0.188,39.0,31.0,0.0,0.0,804.7,12.0,0.0,1.0,Manual Review,0.5825,Medium,210.92
251.5,645.0,0.565,0.0,32.0,0.0,3.0,208.2,24.0,0.0,0.0,Manual Review,0.5608,Medium,52.54
500.0,653.0,0.544,59.0,27.0,1.0,2.0,528.6,24.0,0.0,1.0,Rejected,0.7348,High,174.79
321.0,749.0,0.207,2.0,18.0,0.0,2.0,341.4,36.0,0.0,1.0,Rejected,0.7247,High,111.33
500.0,656.0,0.194,7.0,18.0,2.0,2.0,190.9,24.0,0.0,1.0,Manual Review,0.5173,Medium,44.43
344.8,600.0,0.392,17.0,52.0,0.0,1.0,875.9,60.0,0.0,0.0,Rejected,0.6226,High,245.42
500.0,697.0,0.055,23.0,19.0,0.0,2.0,792.2,12.0,0.0,1.0,Rejected,0.6348,High,226.29
369.1,715.0,0.513,15.0,56.0,1.0,2.0,152.2,48.0,0.0,0.0,Manual Review,0.5701,Medium,39.04
464.8,521.0,0.168,13.0,46.0,0.0,3.0,661.6,24.0,0.0,0.0,Rejected,0.7786,High,231.82
500.0,667.0,0.35,119.0,33.0,1.0,1.0,588.5,84.0,0.0,1.0,Manual Review,0.5997,Medium,158.81
295.1,676.0,0.065,36.0,45.0,0.0,3.0,879.5,84.0,0.0,1.0,Rejected,0.6221,High,246.21
500.0,596.0,0.399,0.0,43.0,0.0,1.0,514.3,36.0,0.0,0.0,Rejected,0.7319,High,169.39
500.0,730.0,0.36,20.0,24.0,1.0,2.0,1409.4,48.0,1.0,1.0,Rejected,0.6068,High,384.86
244.4,607.0,0.337,74.0,37.0,0.0,1.0,406.7,12.0,1.0,1.0,Manual Review,0.5739,Medium,105.03
500.0,630.0,0.126,12.0,26.0,0.0,0.0,362.0,84.0,1.0,0.0,Manual Review,0.5452,Medium,88.82
500.0,606.0,0.187,3.0,45.0,0.0,2.0,206.4,48.0,0.0,0.0,Manual Review,0.5576,Medium,51.79
500.0,621.0,0.309,51.0,29.0,1.0,2.0,213.2,12.0,0.0,0.0,Manual Review,0.5327,Medium,51.11
294.2,532.0,0.161,33.0,36.0,0.0,0.0,198.3,36.0,0.0,1.0,Manual Review,0.561,Medium,50.06
282.1,504.0,0.156,30.0,36.0,2.0,3.0,536.0,24.0,1.0,1.0,Manual Review,0.5888,Medium,142.03
500.0,747.0,0.489,1.0,39.0,1.0,0.0,362.9,36.0,0.0,0.0,Manual Review,0.5641,Medium,92.12
500.0,552.0,0.041,5.0,57.0,2.0,0.0,586.4,60.0,0.0,0.0,Rejected,0.7239,High,191.03
500.0,540.0,0.501,35.0,35.0,1.0,2.0,171.1,48.0,0.0,1.0,Manual Review,0.5444,Medium,41.91
500.0,447.0,0.125,8.0,52.0,4.0,4.0,227.0,36.0,0.0,0.0,Manual Review,0.5679,Medium,58.01
388.6,568.0,0.378,25.0,43.0,0.0,1.0,223.9,24.0,1.0,1.0,Manual Review,0.5619,Medium,56.61
500.0,514.0,0.322,28.0,55.0,0.0,3.0,2000.0,36.0,1.0,1.0,Rejected,0.6359,High,572.3
500.0,751.0,0.121,12.0,33.0,0.0,3.0,394.2,24.0,1.0,1.0,Manual Review,0.559,Medium,99.16
382.0,700.0,0.165,106.0,46.0,0.0,2.0,426.8,60.0,0.0,1.0,Rejected,0.7664,High,147.2
500.0,564.0,0.421,66.0,37.0,1.0,1.0,423.0,24.0,1.0,0.0,Manual Review,0.5683,Medium,108.17
500.0,800.0,0.223,46.0,18.0,0.0,3.0,1558.8,48.0,0.0,1.0,Rejected,0.6049,High,424.29
300.9,698.0,0.748,2.0,24.0,2.0,4.0,123.8,36.0,1.0,0.0,Manual Review,0.5298,Medium,29.51
500.0,594.0,0.177,4.0,44.0,0.0,2.0,429.0,36.0,0.0,0.0,Manual Review,0.5736,Medium,110.73
335.4,420.0,0.169,24.0,44.0,0.0,2.0,122.9,48.0,0.0,0.0,Manual Review,0.5529,Medium,30.58
500.0,803.0,0.101,6.0,22.0,1.0,3.0,67.1,48.0,0.0,1.0,Manual Review,0.5086,Medium,15.36
500.0,508.0,0.155,137.0,40.0,1.0,0.0,250.1,36.0,0.0,0.0,Manual Review,0.5569,Medium,62.68
362.2,488.0,0.252,6.0,44.0,0.0,1.0,625.9,48.0,1.0,0.0,Manual Review,0.5865,Medium,165.19
500.0,701.0,0.699,24.0,37.0,1.0,1.0,237.7,48.0,1.0,0.0,Manual Review,0.5519,Medium,59.04
500.0,815.0,0.163,16.0,46.0,0.0,1.0,617.7,36.0,0.0,1.0,Rejected,0.6049,High,168.15
500.0,730.0,0.036,36.0,45.0,0.0,2.0,490.1,48.0,0.0,1.0,Manual Review,0.5809,Medium,128.12
500.0,665.0,0.187,4.0,37.0,1.0,4.0,402.7,60.0,0.0,1.0,Manual Review,0.5666,Medium,102.68
482.9,667.0,0.28,20.0,31.0,0.0,2.0,1238.2,12.0,1.0,1.0,Rejected,0.6072,High,338.33
374.5,688.0,0.504,11.0,50.0,0.0,2.0,279.4,48.0,0.0,0.0,Manual Review,0.5795,Medium,72.86
350.0,680.0,0.291,78.0,43.0,0.0,0.0,610.3,24.0,0.0,0.0,Manual Review,0.5886,Medium,161.66
363.1,642.0,0.214,1.0,21.0,2.0,4.0,106.4,24.0,0.0,1.0,Manual Review,0.5144,Medium,24.63
500.0,628.0,0.174,88.0,40.0,1.0,2.0,487.1,48.0,0.0,0.0,Manual Review,0.5767,Medium,126.41
500.0,614.0,0.399,64.0,24.0,0.0,1.0,366.4,84.0,1.0,1.0,Manual Review,0.5446,Medium,89.8
500.0,559.0,0.266,12.0,26.0,0.0,0.0,174.8,84.0,0.0,0.0,Manual Review,0.5272,Medium,41.47
500.0,597.0,0.402,56.0,30.0,0.0,2.0,619.1,24.0,0.0,1.0,Manual Review,0.5693,Medium,158.6
500.0,484.0,0.105,1.0,38.0,0.0,4.0,249.2,36.0,1.0,0.0,Manual Review,0.5536,Medium,62.08
500.0,612.0,0.19,122.0,42.0,1.0,0.0,1799.4,48.0,0.0,0.0,Rejected,0.6272,High,507.88
478.3,540.0,0.355,26.0,33.0,1.0,0.0,64.2,24.0,0.0,0.0,Manual Review,0.5276,Medium,15.24
500.0,531.0,0.079,13.0,33.0,2.0,2.0,549.0,60.0,0.0,0.0,Rejected,0.7473,High,184.63
500.0,634.0,0.124,16.0,31.0,0.0,0.0,465.7,60.0,0.0,0.0,Manual Review,0.559,Medium,117.14
355.7,731.0,0.241,2.0,50.0,0.0,1.0,359.5,84.0,0.0,1.0,Rejected,0.756,High,122.3
319.6,693.0,0.469,163.0,18.0,0.0,2.0,294.7,12.0,1.0,1.0,Manual Review,0.5436,Medium,72.09
500.0,494.0,0.549,1.0,34.0,0.0,1.0,475.5,36.0,1.0,0.0,Manual Review,0.5711,Medium,122.2
488.3,540.0,0.132,38.0,56.0,1.0,1.0,1052.8,60.0,1.0,0.0,Manual Review,0.597,Medium,282.81
500.0,695.0,0.299,21.0,44.0,0.0,0.0,118.1,60.0,1.0,1.0,Manual Review,0.5461,Medium,29.02
500.0,541.0,0.515,107.0,53.0,2.0,0.0,236.2,84.0,0.0,0.0,Manual Review,0.5677,Medium,60.34
500.0,602.0,0.401,10.0,18.0,1.0,0.0,194.3,24.0,0.0,0.0,Manual Review,0.5176,Medium,45.26
357.5,664.0,0.284,27.0,23.0,0.0,0.0,187.1,48.0,0.0,1.0,Manual Review,0.5321,Medium,44.8
256.0,542.0,0.318,23.0,44.0,0.0,2.0,592.1,48.0,1.0,0.0,Manual Review,0.5955,Medium,158.66
436.7,628.0,0.138,43.0,56.0,2.0,5.0,721.2,12.0,0.0,0.0,Manual Review,0.592,Medium,192.14
500.0,513.0,0.201,2.0,24.0,1.0,2.0,1055.2,48.0,0.0,0.0,Manual Review,0.5669,Medium,269.18
500.0,571.0,0.242,7.0,33.0,1.0,1.0,730.3,48.0,0.0,0.0,Rejected,0.7878,High,258.89
292.9,645.0,0.23,8.0,42.0,0.0,4.0,779.3,24.0,0.0,0.0,Rejected,0.6163,High,216.12
500.0,492.0,0.216,48.0,20.0,2.0,0.0,145.5,36.0,0.0,0.0,Manual Review,0.5134,Medium,33.62
500.0,655.0,0.123,7.0,44.0,0.0,1.0,1474.8,48.0,1.0,1.0,Rejected,0.6214,High,412.39
351.0,618.0,0.516,30.0,18.0,0.0,0.0,380.6,48.0,0.0,1.0,Rejected,0.7289,High,124.85
500.0,664.0,0.262,8.0,43.0,0.0,2.0,1028.5,84.0,1.0,1.0,Manual Review,0.5852,Medium,270.85
500.0,637.0,0.231,71.0,26.0,2.0,0.0,149.7,36.0,0.0,0.0,Manual Review,0.5246,Medium,35.34
308.3,729.0,0.096,102.0,32.0,0.0,0.0,371.0,36.0,1.0,0.0,Manual Review,0.5792,Medium,96.7
500.0,630.0,0.34,26.0,45.0,1.0,4.0,957.0,120.0,1.0,0.0,Manual Review,0.5928,Medium,255.31
500.0,585.0,0.157,15.0,43.0,1.0,3.0,460.3,84.0,1.0,0.0,Manual Review,0.5756,Medium,119.23
500.0,629.0,0.162,9.0,37.0,1.0,2.0,246.2,12.0,0.0,0.0,Manual Review,0.5527,Medium,61.24
500.0,663.0,0.195,1.0,49.0,2.0,3.0,1283.4,60.0,0.0,1.0,Rejected,0.6193,High,357.69
274.2,623.0,0.389,11.0,18.0,2.0,1.0,176.3,24.0,0.0,0.0,Manual Review,0.5309,Medium,42.12
341.6,623.0,0.324,38.0,40.0,0.0,1.0,442.8,12.0,0.0,1.0,Rejected,0.7901,High,157.43
500.0,563.0,0.057,27.0,28.0,0.0,0.0,751.1,36.0,0.0,1.0,Rejected,0.7824,High,264.44
500.0,566.0,0.507,103.0,49.0,1.0,0.0,2000.0,36.0,1.0,0.0,Rejected,0.6294,High,566.5
500.0,507.0,0.304,18.0,46.0,1.0,1.0,311.9,60.0,0.0,0.0,Manual Review,0.5674,Medium,79.64
500.0,759.0,0.297,42.0,46.0,1.0,1.0,360.8,60.0,0.0,1.0,Manual Review,0.5714,Medium,92.78
500.0,520.0,0.137,24.0,57.0,0.0,0.0,315.4,120.0,0.0,0.0,Manual Review,0.5803,Medium,82.36
500.0,564.0,0.449,25.0,51.0,1.0,1.0,544.7,60.0,1.0,0.0,Rejected,0.775,High,189.97
500.0,562.0,0.252,11.0,36.0,0.0,2.0,720.4,36.0,1.0,0.0,Rejected,0.7932,High,257.13
500.0,691.0,0.17,21.0,37.0,0.0,0.0,1079.3,60.0,0.0,1.0,Manual Review,0.585,Medium,284.15
466.4,596.0,0.08,22.0,45.0,0.0,2.0,824.1,120.0,0.0,0.0,Manual Review,0.5899,Medium,218.77
500.0,719.0,0.233,44.0,39.0,2.0,1.0,302.3,60.0,1.0,1.0,Manual Review,0.5588,Medium,76.02
371.0,566.0,0.484,101.0,46.0,2.0,2.0,862.8,60.0,0.0,0.0,Manual Review,0.5961,Medium,231.43
485.0,642.0,0.169,14.0,18.0,2.0,1.0,484.3,84.0,0.0,0.0,Manual Review,0.5465,Medium,119.1
428.3,553.0,0.075,1.0,60.0,0.0,2.0,817.0,24.0,1.0,0.0,Rejected,0.6067,High,223.06
500.0,791.0,0.185,24.0,38.0,0.0,0.0,855.2,60.0,1.0,1.0,Manual Review,0.5773,Medium,222.17
500.0,524.0,0.168,28.0,18.0,0.0,1.0,1658.3,84.0,0.0,1.0,Rejected,0.6088,High,454.28
214.6,644.0,0.276,6.0,27.0,1.0,1.0,338.9,120.0,0.0,0.0,Rejected,0.6419,High,97.9
